topic,argument,key_point,stance,label,set,ibm_pro_deb_qs
Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,1,1,train,0.9384366273880004
Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,-1,1,train,0.7814107537269592
Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide reduces suffering,-1,1,train,0.9125474095344543
Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,People should have the freedom to choose to end their life,-1,1,train,0.8990635275840759
Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,People should have the freedom to choose to end their life,-1,1,train,0.8687478303909302
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,People should have the freedom to choose to end their life,-1,1,train,0.8838835954666138
Assisted suicide should be a criminal offence,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide reduces suffering,-1,1,train,0.8213921189308167
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.943875789642334
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide should not be allowed because many times people can still get better,1,1,train,0.6783441305160522
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide is akin to killing someone,1,1,train,0.8678137063980103
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9424646496772766
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9551115036010742
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,Assisted suicide reduces suffering,-1,1,train,0.885039746761322
Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide reduces suffering,-1,1,train,0.8976519107818604
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide is akin to killing someone,1,1,train,0.8977522850036621
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide is akin to killing someone,1,1,train,0.7958511710166931
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide is akin to killing someone,1,1,train,0.955716609954834
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide is akin to killing someone,1,1,train,0.9135305881500244
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide is akin to killing someone,1,1,train,0.9217125773429872
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide is akin to killing someone,1,1,train,0.939355731010437
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide reduces suffering,-1,1,train,0.9236858487129213
Assisted suicide should be a criminal offence,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide reduces suffering,-1,1,train,0.6269579529762268
Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide reduces suffering,-1,1,train,0.9530001878738404
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide reduces suffering,-1,1,train,0.8566117882728577
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,People should have the freedom to choose to end their life,-1,1,train,0.8977739214897156
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide violates the doctor's role,1,1,train,0.7739630341529846
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide is akin to killing someone,1,1,train,0.8898997902870178
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide is akin to killing someone,1,1,train,0.9231848120689392
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide is akin to killing someone,1,1,train,0.924964189529419
