topic,argument,key_point,stance,label,ibm_pro_deb_qs
We should abolish the three-strikes laws,a criminal that offends two times is likely to keep committing crimes so the three strikes law would keep them out of the public earlier for the better,the three-strikes law is good at keeping criminals off of the streets,-1,1,0.8426530957221985
We should ban cosmetic surgery,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,0,0.9165204167366028
Entrapment should be legalized,a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,entrapment is wrong and should be illegal,-1,0,0.9175407886505127
We should ban cosmetic surgery,a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1,0.9031970500946045
We should subsidize student loans,a student does not have the resources to pay for the high cost of college,subsidizing student loans would encourage more to pursue higher education.,1,0,0.8690714240074158
We should subsidize student loans,a student loan is a loan that the person chose to take out.  there's no reason to offer a subsidy for them any more than any other type of loan.,student loans should be paid by the borrower like all other loans.,-1,1,0.8358655571937561
We should ban algorithmic trading,a well-known economist has come out to say that algorithmic trading will be the doom of our economy,algorithmic trading gives an unfair advantage in the market,1,0,0.7229927182197571
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy gives administrators no leeway if a student commits a less than serious crime.,zero-tolerance policies in schools are too strict and unnecessary,-1,0,0.9643955230712891
We should adopt a zero-tolerance policy in schools,"a zero-tolerance policy in school is impracticle when it comes to bullying and fighting as situations are often complicated and long-standing, sometimes initially with no clear outcome.",zero-tolerance policies in schools are too strict and unnecessary,-1,0,0.9662154912948608
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in school systems could put an end to the rampant spread of bullying which has increased the suicide rate among children.,clear boundaries and expectations must be set to protect students.,1,1,1.0071581602096558
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in school would improve behaviour and thus improve results.,clear boundaries and expectations must be set to protect students.,1,0,0.9699441194534302
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools is the wrong way to go as it would too often cause innocent students being punished for being pushed too far.,zero-tolerance policies in schools are too strict and unnecessary,-1,0,0.9587349891662598
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools shows children that the schools are not playing around when it comes to punishment,clear boundaries and expectations must be set to protect students.,1,0,0.7693116664886475
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy in schools would remove disruptive students from class and facilitate better learning for the rest of the students.,clear boundaries and expectations must be set to protect students.,1,0,0.9880273938179016
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy insures that children are actually paying attention to their lessons and doing their best to not get into trouble.,clear boundaries and expectations must be set to protect students.,1,0,0.9597461819648743
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy is a way to keep kids safe,clear boundaries and expectations must be set to protect students.,1,1,0.9233623743057251
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy is too restrictive for young children,zero-tolerance policies in schools are too strict and unnecessary,-1,1,0.9133538007736206
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy will weaken students. it shields them from experiences (mainly negative) that they may face in the real world.,zero-tolerance policies in schools are too strict and unnecessary,-1,0,0.9710497260093689
We should adopt a zero-tolerance policy in schools,a zero-tolerance policy would help keep children safer.,clear boundaries and expectations must be set to protect students.,1,1,0.9710268974304199
We should abolish the three-strikes laws,abolishing the three-strikes laws is mandatory because is not supporting evidence and not following the evidences in such a cases is abstract and not part of our western society.,people who have three minor offences are unfairly punished.,1,0,0.6425275206565857
We should adopt a zero-tolerance policy in schools,adopting a zero tolerance rule in schools is good for safety.,clear boundaries and expectations must be set to protect students.,1,1,0.9179097414016724
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy helps to combat violence and drug abuse in schools,clear boundaries and expectations must be set to protect students.,1,1,0.9586921334266663
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy in schools is unfair since it takes no account of the circumstances of the infraction,zero-tolerance policies in schools are too strict and unnecessary,-1,0,0.9517676830291748
We should adopt a zero-tolerance policy in schools,adopting a zero-tolerance policy was shown to work in new york with crime and so would help in schools too.,clear boundaries and expectations must be set to protect students.,1,0,0.9382569789886475
We should ban cosmetic surgery,adults should have the right to modify their bodies if they wish to,cosmetic surgery is a choice and bodily autonomy is paramount.,-1,1,0.8833059072494507
We should ban algorithmic trading,"algorithimic trading, which to all intents and purposes is nothing more than ai-enabled gambling, makes a volatile, destructive and unethical trade even more so.",algorithmic trading gives an unfair advantage in the market,1,0,0.897234320640564
We should ban algorithmic trading,algorithmic commerce does not do well to global markets,algorithmic trading gives an unfair advantage in the market,1,0,0.780180037021637
We should ban algorithmic trading,"algorithmic trading allows for greater numbers of trades to happen, getting more people involved in the economy","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0,0.9404624700546265
We should ban algorithmic trading,"algorithmic trading allows for instantaneous response to the financial environment of the moment, without need for human thought or indecision.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,0.9655686616897583
We should ban algorithmic trading,"algorithmic trading allows for more efficient, higher volume trading patterns, encouraging lower-cost funds and investment vehicles, benefiting the retail investor.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,1.0028836727142334
We should ban algorithmic trading,"algorithmic trading allows for quicker more automated trading by utilizing mathematics and technology, this is simply a technological advancement as we see in all fields of business","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,0.958340048789978
We should ban algorithmic trading,"algorithmic trading can be processed by computers much quicker than trades by humans, this gives some rich firms an unfair advantage.",algorithmic trading gives an unfair advantage in the market,1,1,0.9329599142074585
We should ban algorithmic trading,algorithmic trading can be rigged to benefit those who have the most money to gain,algorithmic trading gives an unfair advantage in the market,1,1,0.8752763867378235
We should ban algorithmic trading,algorithmic trading can lead to sudden market shifts if all bots move at the same time and trigger other algorithms to trade the same way.,algorithmic trading gives an unfair advantage in the market,1,0,0.9719927906990051
We should ban algorithmic trading,"algorithmic trading cause massive stock market shifts and impacts on the economy, the practice should be banned",algorithmic trading gives an unfair advantage in the market,1,0,1.0011870861053467
We should ban algorithmic trading,algorithmic trading could lead to an economic crisis,algorithmic trading gives an unfair advantage in the market,1,0,1.0072031021118164
We should ban algorithmic trading,algorithmic trading could put traditional traders out of a job.,algorithmic trading gives an unfair advantage in the market,1,0,0.8915477991104126
We should ban algorithmic trading,algorithmic trading does not contribute to the growth of society and is profiting without contributing so it should be banned.,algorithmic trading gives an unfair advantage in the market,1,0,0.944832444190979
We should ban algorithmic trading,algorithmic trading doesn't provide the necessary thought processes of someone paying attention to the trades,algorithmic trading gives an unfair advantage in the market,1,0,0.915624737739563
We should ban algorithmic trading,algorithmic trading enables a more level playing field in the trading of shares.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0,0.9102026224136353
We should ban algorithmic trading,algorithmic trading enables much faster trading to take place and saves too much time to ban it.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,0.9052483439445496
We should ban algorithmic trading,algorithmic trading gives certain individuals an unfair advantage.,algorithmic trading gives an unfair advantage in the market,1,1,0.9392436742782593
We should ban algorithmic trading,algorithmic trading gives people an unfair advantage because they can trade so much more quickly and therefore it should be banned.,algorithmic trading gives an unfair advantage in the market,1,1,0.9482120871543884
We should ban algorithmic trading,algorithmic trading gives some people an advantage while the rest are simply going to be the ones losing the most money.,algorithmic trading gives an unfair advantage in the market,1,1,0.9106874465942383
We should ban algorithmic trading,algorithmic trading gives some people an unfair advantage,algorithmic trading gives an unfair advantage in the market,1,1,0.9145050048828125
We should ban algorithmic trading,algorithmic trading gives too much control to machines. humans are better placed to understand the intricacies of the markets.,algorithmic trading gives an unfair advantage in the market,1,0,0.9384713172912598
We should ban algorithmic trading,algorithmic trading gives traders an unfair advantage,algorithmic trading gives an unfair advantage in the market,1,1,0.9303556680679321
We should ban algorithmic trading,algorithmic trading has been deemed responsible for crashes in the pound and the dow,algorithmic trading gives an unfair advantage in the market,1,0,0.9135143756866455
We should ban algorithmic trading,"algorithmic trading has been responsible for several mini market collapses, since computer systems lack the human sensitivity to look outside the stream of meaningless numbers to a wider context.",algorithmic trading gives an unfair advantage in the market,1,0,0.9965118765830994
We should ban algorithmic trading,"algorithmic trading has been responsible for some wild market fluctuations, damaging the confidence of investors.",algorithmic trading gives an unfair advantage in the market,1,0,0.9993054270744324
We should ban algorithmic trading,"algorithmic trading has helped the trading industry due to the high level of accuracy that it provides, there is no human error","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,0.9271599650382996
We should ban algorithmic trading,"algorithmic trading has its disadvantages which include system failure risks,network connectivity errors, time-lags between trade orders and execution and, most important of all, imperfect algorithms.",algorithmic trading gives an unfair advantage in the market,1,0,0.9761284589767456
We should ban algorithmic trading,algorithmic trading helps people trade with a smaller risk of financial losses.,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,0,0.9602916240692139
We should ban algorithmic trading,"algorithmic trading improves the cost efficiency of financial markets, allows for the streamlining of regular micro transactions such as dividend reinvestment schemes.","algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,0.9929585456848145
We should ban algorithmic trading,algorithmic trading is a harmful practice that is to all intents and purposes gambling. it allows companies that are already to powerful to increase their grip on the financial markets.,algorithmic trading gives an unfair advantage in the market,1,1,0.9366662502288818
