topic,argument,summary,stance,ibm_pro_deb_qs
abortion,Personally i think that people should have the ability to make there own choice.,Abortion is a womans right.,1,0.409972220659256
abortion,I am for a woman's right to chose.,Abortion is a womans right.,1,0.5012828707695007
abortion,You should be permitted to decide what medical procedures you will undergo or forego.,Abortion is a womans right.,1,0.7861520051956177
abortion,"Therefore, I believe that it should be the person's choice.",Abortion is a womans right.,1,0.4347346723079681
abortion,WOMEN CAN DO WHATEVER THE HELL THEY'D LIKE TO DO WITH THEIR OWN BODIES.,Abortion is a womans right.,1,0.6290625929832458
abortion,I    sure as hell don't have the right to commandeer someone else's body against their will for nine months to keep myself alive and neither does a fetus.,Abortion is a womans right.,1,0.7900718450546265
abortion,I believe that abortion should be legal because the fetus is simply a part of the mother's body and she can have an abortion because it is her human rights.,Abortion is a womans right.,1,0.8223945498466492
abortion,people have the right to decide.,Abortion is a womans right.,1,0.7052820920944214
abortion,it's simply not our choice to decide what people want to do with their bodies,Abortion is a womans right.,1,0.8333961963653564
abortion,"A women should be able to choose what happens with her body, especially concerning abortion and babies.",Abortion is a womans right.,1,0.690062940120697
abortion,never allowing a women to do something specific to her own body also isn't right.,Abortion is a womans right.,1,0.7624644637107849
abortion,Every mother should have the right to do what they want to do and what they think is best.,Abortion is a womans right.,1,0.8580636382102966
abortion,Who are any of you to decide what is right for a pregnant woman?,Abortion is a womans right.,1,0.7088652849197388
abortion,People should be allowed to do whatever they like with there own body.,Abortion is a womans right.,1,0.7680140137672424
abortion,"Making it illegal would  not  save these imaginary people anyway, but it would kill scores of women who decide to get an abortion in a dirty basement instead of a clean hospital.",Abortion is a womans right.,1,0.7478411197662354
abortion,"What matters to me is that abortion is a right women should have or continue to have, even if they became pregnant during consensual sex.",Abortion is a womans right.,1,0.7872531414031982
abortion,"Well really, it's they're choice what they wanna do.",Abortion is a womans right.,1,0.3427207767963409
abortion,don't understand why we feel that we get to dictate what other people can do with their bodies.,Abortion is a womans right.,1,0.5384652614593506
abortion,"the government should not force a citizen to sacrifice their right to bodily autonomy for the sake of another living thing, whether or not that living thing is a human.",Abortion is a womans right.,1,0.843948245048523
abortion,"If I somehow find myself in a situation where my survival relies on using someone else's body as a host, then I absolutely support their right to terminate that dependency at the expense of my life, especially if I an incapable of thought or choice.",Abortion is a womans right.,1,0.806979775428772
abortion,every mothere should have her own desicon on whether or not they want to go through a pregancy.,Abortion is a womans right.,1,0.528974175453186
abortion,The ability of a woman to have control of her body is critical to civil rights.,Abortion is a womans right.,1,0.8757588267326355
