human_scores,topic,stance,refs,preds,bert_score_p,bart_score_parabank_rs,coverage_score,llm_coverage,llm_redundancy,runtime
0.7,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is like killing a human
If you can't afford to have a child, you can give the child to someone else
The fetus is a living being that can be killed
It is preferable to kill someone
Fertilization is the beginning of life
If they are not ready for a child, they should be more careful if they don't want a child
It is morally acceptable to kill a child
There is no difference between killing a baby and that of a one inside a mother
People have a right not to kill, say, a future child
A abortion is killing the child
A fetus is alive
Sex should be prepared for the consequences",0.5211873054504395,0.6338763616336536,0.6,0.93,0.55,21.563
0.8,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is murder.
Unborn baby's innocence should be respected.
Unborn have the right to live.
Fetus is a living human being.
Responsibility should be taken, not abortion.
Choosing abortion is avoiding responsibility for actions.
Give child up for adoption, not abortion.",0.6687027215957642,0.77346311656973,0.6,0.89,0.4142857142857143,6.936
0.6,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is murder.
Put the baby up for adoption.
Abortion causes health problems.",0.6719719767570496,0.7279481158366693,0.4,0.65,0.3333333333333333,3.168
0.4,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is killing a living being.
Abortion is morally wrong.
Give the child up for adoption.
 Abortion denies a future human being.",0.6218023896217346,0.7679092512005559,0.6,0.72,0.275,45.34582
0.8,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Adoption is a viable alternative to abortion.
Abortion is equivalent to killing a human being.
Women should take responsibility for their actions.
Abortion denies the right to life.
Adoption provides a solution for unwanted pregnancies.
Abortion is morally wrong and unjustifiable.
Human life begins at conception.
Abortion eliminates the potential of a future human being.",0.5545162558555603,0.6626551723620855,0.4,0.93,0.4125,20.07781
0.6,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is taking a life and that is bad.
Abortion is murder and should not be given as a right to women
The abortionist goal is to kill that which is growing
technically a fetus is indeed alive, a zygote is alive.
eventually give her child up to adoption
Dont murder it!
Just because it isn't born yet, what makes it any less of a human?
putting it up for adoption,
However, the most common abortion is resulting from people being careless and stupid, not rape.
the parents should have been more careful if they didnt want a child",0.4988327920436859,0.7132429606347697,0.6,0.94,0.44,108.42955
0.8,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Adoption is a viable alternative to abortion.
Abortion is equivalent to murder.
Abortion denies the right to life.
Adoption provides a loving family.
Abortion is a selfish decision.
Abortion is immoral and wrong.
Adoption is a compassionate choice.
Give the child up for adoption.",0.6399474143981934,0.7593022528175009,0.6,0.8800000000000001,0.4875,9.96519
0.6,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Adoption is a viable alternative to abortion.
Abortion is equivalent to killing a human being.
Responsibility should be taken for actions leading to pregnancy.",0.4822165071964264,0.6285470701445647,0.4,0.71,0.0333333333333333,5.64604
0.6,abortion,-1,"Put baby up for adoption.
Abortion kills a life.
An unborn baby is a human and has the right to live.
Be willing to have the baby if you have sex.
Abortion is harmful for women.","Abortion is the unjustified taking of a human life in the early stages of development and that is wrong.
People should understand the consequences of having sex and abortion should not be a option.
Abortion is immoral because it eliminates life.
Abortion eliminates the potential societal contributions of a future human being.
A childless couple isn't acting irresponsibly if they are prepared to take responsibility if they have sex.
If it is an individual human being, it has all the rights and protections of all other human beings.
Abortion means denying the opportunity of life to what would've been a someone.
Abortion should never occur simply because of teenage pregnancy",0.4156818985939026,0.5846570606907278,0.4,0.9,0.4,11.64112
0.5,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","The fetus is a part of the mother's body
The fetus is alive in the strict biological sense
If a 15-year-old girl was raped, then abortion should be allowed if she wants to
The fetus is the result of a rape/incest
The child will suffer from the consequences of the parents' mistakes
The cluster of cells is not self-aware and cannot feel anything we might consider human
There are more unwanted children than homes
People should have the ability to make their own choice
Making abortions illegal will lead to more abortions for women",0.3921870291233063,0.5126960383360217,0.0,0.6375,0.4111111111111111,44.994
0.25,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Young mothers deserve support and understanding.
Fetal rights should not precede viability.
Abortion is a woman's right to choose.
Abortion is a backup when contraception fails.
Foster care overwhelmed; more unwanted children.
Fetus is not a person until birth.",0.531468391418457,0.599401290650554,0.375,0.7125,0.4833333333333333,6.445
0.6875,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Abortion is the woman's choice.
A fetus is not a person.
Abortion mainly in first trimester.
Fetus not yet a human being.
Abortion is not murder.
Abortion restrictions after 3rd trimester.
Abortion justified in rape and incest cases.
Abortion acceptable if mother's life at risk.
Abortion is the woman's decision.
Support abortion up to a point in pregnancy.
Abortion acceptable in cases of rape.
Abortion to prevent burden and strain.
Fetus not considered living.
Fetus cannot think or feel.
Abortion choice if unable to care for child.
Abortion should always be an option.",0.6547893285751343,0.6761261655008605,0.625,0.86875,0.61875,6.367
0.625,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Abortion is a matter of bodily autonomy.
Abortion is not equivalent to murder.
Abortion is justified in cases of rape.
The decision should lie with the parents.
 Unwanted children may face neglect or suffering.
Financial constraints may warrant abortion.
Illegal abortions pose risks to women's health.
 Abortion is acceptable in early stages.",0.538276195526123,0.6402534781880758,0.75,0.8125,0.4625,67.5966
0.25,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Abortion is a woman's right to choose.
Legal abortion prevents unsafe procedures.
Women should not be forced into motherhood.
Abortion is acceptable in cases of danger.",0.4977206885814667,0.5966692965947942,0.25,0.6,0.3,12.28875
